density_condition_key,n0_cm3,source_locator,notes
sk98_mu_digitized_01,5.65116912536e+14,"png_digitization:C:/Users/psboy/Documents/ToE/formal/external_evidence/bec_sound_density_secondary_TBD/Screenshot 2026-01-24 153305.png::panel_b_mu:px=391,py=157,mu_over_kb_uK=0.412065",Derived from digitized μ/k_B (μK) in panel (b); n0=μ/g with a=2.75nm (Na-23).
sk98_mu_digitized_02,5.03058081411e+14,"png_digitization:C:/Users/psboy/Documents/ToE/formal/external_evidence/bec_sound_density_secondary_TBD/Screenshot 2026-01-24 153305.png::panel_b_mu:px=406,py=162,mu_over_kb_uK=0.366814",Derived from digitized μ/k_B (μK) in panel (b); n0=μ/g with a=2.75nm (Na-23).
