"k_um_inv","omega_over_2pi_kHz","sigma_omega_over_2pi_kHz"
"0.418478436359624","0.169818287468785","0.1"
"0.703804544020029","0.216519034027698","0.1"
"1.06521790397193","0.291746712053885","0.1"
"1.40760836241824","0.410116411329795","0.1"
"1.75000027210818","0.606010954616589","0.1"
"2.09239218179812","0.760527233115469","0.1"
"2.45380409050639","0.816457374209716","0.1"
"2.77717454993436","1.0019226165982","0.1"
"3.13858790988627","1.14014515108428","0.1"
"4.18478363797442","1.68620283704256","0.1"
"6.80978295770397","3.62496066100449","0.11"
"10.3478264024443","7.31639679358717","0.22"
"14.5896751168264","13.3679827061856","0.4"
