k_um_inv,omega_over_2pi_kHz
0.0532468414618,0.275324539089
0.11560249966,1.81344313026
0.292276864556,0.177241614434
0.35203437033,1.44607799428
0.383212199429,1.81344313026
0.435175247928,1.91241771787
0.52065510848,0.471890639423
0.536503192501,0.373407463743
0.712918387926,0.471890639423
0.845683331069,1.14826256851
1.13667640266,0.275324539089
1.15746162206,0.673897878367
1.20682651814,0.673897878367
1.4952214373,0.373407463743
1.53419372368,0.944071752642
1.713466241,1.24812881907
1.90313136802,1.91241771787
2.08240388534,0.573139964858
2.46433229181,1.34710340668
2.8176810216,1.54505258189
2.93979418557,0.944071752642
3.04112213015,1.14826256851
3.72183806548,1.24812881907
4.08557940497,1.34710340668
4.45191889689,0.573139964858
