k_um_inv,omega_over_2pi_kHz
0.0111058280125,0.281223501438
0.0809064665127,0.0727596968346
0.0912990762125,1.90691038787
0.19522517321,1.44057066429
0.278366050808,1.04467231387
0.332927251732,0.0727596968346
0.501807159353,1.90691038787
0.551172055427,0.567632634864
0.600536951501,0.0727596968346
0.6628926097,1.24262148908
0.803192840647,1.90691038787
0.917511547344,0.938564422648
1.12536374134,1.90691038787
1.28904734411,1.90691038787
1.51508660508,0.466874721355
1.82426674365,0.269817209095
2.02952078522,1.14275523852
2.38286951501,0.938564422648
2.54395496536,0.17173428444
2.62969399538,0.567632634864
2.9440704388,1.04467231387
3.13633371824,0.938564422648
3.45330831409,1.34159607668
4.09765011547,1.14275523852
4.39903579677,1.90691038787
