time_ms,distance_um
8.91481,59.158
9.07275,119.848
11.5209,104.33
15.7304,59.2783
16.3383,89.5028
17.0491,119.848
23.9197,134.675
28.2872,104.451
34.526,59.2783
37.2662,134.675
38.0798,89.6231
39.6354,119.848
39.7383,104.451
