time_ms,distance_um
11.8742,30.9328
17.7174,41.5736
20.2093,94.5361
21.9279,30.9328
23.6465,105.177
33.8461,73.4119
36.1062,41.5736
48.0504,20.2919
57.8203,105.093
66.0095,62.6135
73.8291,94.5361
