vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,2,RE,+1.50108402196651560e-51
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,2,IM,+3.44401873338751417e-39
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,4,RE,+1.49436967925088813e-51
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,4,IM,+6.87970173242114814e-39
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,6,RE,+1.48638309217663007e-51
YUKAWA,GRID_00,+1.00000000000000008e-05,6,+3.16227766016837939e-04,6,IM,+1.02987337178519379e-38
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,2,RE,-1.87894866868907518e-54
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,2,IM,+4.30328392101554411e-42
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,4,RE,-1.87107277048264701e-54
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,4,IM,+8.59614990234456319e-42
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,6,RE,-1.86306565051644217e-54
YUKAWA,GRID_00,+1.00000000000000008e-05,7,+3.83118684955728529e-04,6,IM,+1.28682055927330189e-41
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,2,RE,-5.83379168318377681e-58
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,2,IM,+1.30718755462104122e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,4,RE,-5.80769340085205797e-58
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,4,IM,+2.61120955115529900e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,6,RE,-5.78468157992091683e-58
YUKAWA,GRID_00,+1.00000000000000008e-05,8,+4.64158883361277732e-04,6,IM,+3.90890821584415347e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,2,RE,-3.24232299594804825e-62
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,2,IM,+7.15694227350005906e-50
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,4,RE,-3.23055267361538559e-62
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,4,IM,+1.42965462733083401e-49
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,6,RE,-3.21790107184554344e-62
YUKAWA,GRID_00,+1.00000000000000008e-05,9,+5.62341325190349097e-04,6,IM,+2.14015164252251239e-49
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,2,RE,-2.62914383307211377e-67
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,2,IM,+4.91491528603913010e-55
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,4,RE,-2.61421386483059818e-67
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,4,IM,+9.81791795359209360e-55
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,6,RE,-2.60161615437278809e-67
YUKAWA,GRID_00,+1.00000000000000008e-05,10,+6.81292069057960856e-04,6,IM,+1.46971247776452730e-54
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,2,RE,+1.07845223677747819e-73
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,2,IM,+2.72852528546951044e-61
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,4,RE,+1.07495290362813339e-73
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,4,IM,+5.45043305513479461e-61
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,6,RE,+1.06772176614110855e-73
YUKAWA,GRID_00,+1.00000000000000008e-05,11,+8.25404185268018118e-04,6,IM,+8.15912216162287780e-61
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,2,RE,+2.74215918508413791e-81
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,2,IM,+7.19136128904341394e-69
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,4,RE,+2.73200282031743000e-81
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,4,IM,+1.43652667823998150e-68
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,6,RE,+2.71207484508054419e-81
YUKAWA,GRID_00,+1.00000000000000008e-05,12,+1.00000000000000002e-03,6,IM,+2.15043040002734246e-68
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,2,RE,+1.73554941384989259e-90
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,2,IM,+4.72160105075304099e-78
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,4,RE,+1.72744331117498477e-90
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,4,IM,+9.43172854855828598e-78
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,6,RE,+1.71389988441611924e-90
YUKAWA,GRID_00,+1.00000000000000008e-05,13,+1.21152765862858765e-03,6,IM,+1.41189375328301866e-77
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,2,RE,+1.25053184927311106e-101
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,2,IM,+3.53514239959953489e-89
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,4,RE,+1.24478051257603495e-101
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,4,IM,+7.06168155588252835e-89
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,6,RE,+1.23654801681307266e-101
YUKAWA,GRID_00,+1.00000000000000008e-05,14,+1.46779926762206914e-03,6,IM,+1.05710357872489651e-88
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,2,RE,+3.93430696330015401e-115
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,2,IM,+1.17107074858369933e-102
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,4,RE,+3.92025272500275243e-115
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,4,IM,+2.33928572983225406e-102
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,6,RE,+3.87650835671196125e-115
YUKAWA,GRID_00,+1.00000000000000008e-05,15,+1.77827941003892275e-03,6,IM,+3.50179638901936530e-102
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,2,RE,+1.72318162306566180e-131
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,2,IM,+5.45022422955191166e-119
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,4,RE,+1.71513251432051655e-131
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,4,IM,+1.08871199091679253e-118
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,6,RE,+1.70219915663038163e-131
YUKAWA,GRID_00,+1.00000000000000008e-05,16,+2.15443469003188210e-03,6,IM,+1.62973925102811282e-118
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,2,RE,+2.67058931325624814e-151
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,2,IM,+8.87701091780846880e-139
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,4,RE,+2.66136549393068911e-151
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,4,IM,+1.77322261849019194e-138
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,6,RE,+2.62964397909619794e-151
YUKAWA,GRID_00,+1.00000000000000008e-05,17,+2.61015721568253574e-03,6,IM,+2.65439066089078722e-138
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,2,RE,+2.64901217310278551e-175
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,2,IM,+9.39254436801526484e-163
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,4,RE,+2.63700211131712880e-175
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,4,IM,+1.87618949888303415e-162
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,6,RE,+2.61216141015767793e-175
YUKAWA,GRID_00,+1.00000000000000008e-05,18,+3.16227766016837939e-03,6,IM,+2.80849194461564219e-162
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,2,RE,+2.19619785682839860e-204
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,2,IM,+8.39244130920953520e-192
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,4,RE,+2.18483510483794732e-204
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,4,IM,+1.67639858615849361e-191
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,6,RE,+2.16404930538631474e-204
YUKAWA,GRID_00,+1.00000000000000008e-05,19,+3.83118684955728508e-03,6,IM,+2.50937937809270944e-191
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,2,RE,+1.29951814973578604e-239
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,2,IM,+5.34687537808740118e-227
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,4,RE,+1.29094048881480723e-239
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,4,IM,+1.06802748399665078e-226
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,6,RE,+1.27883834955726100e-239
YUKAWA,GRID_00,+1.00000000000000008e-05,20,+4.64158883361277721e-03,6,IM,+1.59867606669480631e-226
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,2,RE,-1.81482157003971707e-281
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,2,IM,+1.21604374362861979e-269
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,4,RE,-1.80930558284537812e-281
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,4,IM,+2.42896769792628570e-269
